First_Name: Jacob 	 Last_Name: Thomas 	 Street_Number: 320 	 Street_Name: Carroll Lane 	 City: Abbotsford 	 Province: Prince Edward Island 	 Poastal_Code: K1B 3B2 	 Country: Canada 	 Phone: 822273361 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData1.csv
First_Name: Ethan 	 Last_Name:  	 Street_Number: 130 	 Street_Name: Charlotte Lane 	 City: Blainville 	 Province: Alberta 	 Poastal_Code: G3E 2K4 	 Country: Canada 	 Phone: 786106204 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData1.csv
First_Name: Alexander 	 Last_Name: Johnson 	 Street_Number: 459 	 Street_Name: Autumn Drive 	 City: Saguenay 	 Province: Alberta 	 Poastal_Code: L4A 0T0 	 Country: Canada 	 Phone: 200962555 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData1.csv
First_Name: Jacob 	 Last_Name: Anderson 	 Street_Number: 342 	 Street_Name: Abbott Drive 	 City: Vancouver 	 Province: New Brunswick 	 Poastal_Code: N8A 0B3 	 Country: Canada 	 Phone: 849274914 	 Email: Jacob@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData10.csv
First_Name:  	 Last_Name: Jackson 	 Street_Number: 279 	 Street_Name: Beech Street 	 City: Waterloo 	 Province:  	 Poastal_Code: T1L 2H8 	 Country: Canada 	 Phone: 1217933489 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData11.csv
First_Name: Alexander 	 Last_Name: Johnson 	 Street_Number: 113 	 Street_Name: Brenton Street 	 City: Saskatoon 	 Province: New Brunswick 	 Poastal_Code: H0H 3C9 	 Country: Canada 	 Phone: 1388467166 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData11.csv
First_Name: Liam 	 Last_Name: Thomas 	 Street_Number: 80 	 Street_Name: Bilby Street 	 City: Medicine Hat 	 Province:  	 Poastal_Code: G0H 2P3 	 Country: Canada 	 Phone: 574068284 	 Email: Liam@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData15.csv
First_Name:  	 Last_Name: Davis 	 Street_Number: 396 	 Street_Name: Abrams Way 	 City: Calgary 	 Province: Nova Scotia 	 Poastal_Code: J1S 0R4 	 Country: Canada 	 Phone: 368018760 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData16.csv
First_Name: Ethan 	 Last_Name: Brown 	 Street_Number: 435 	 Street_Name: Birchfield Crescent 	 City: Kamloops 	 Province: Prince Edward Island 	 Poastal_Code: L4A 0T3  	 Country: Canada 	 Phone: 883865848 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData21.csv
First_Name: Ethan 	 Last_Name:  	 Street_Number: 225 	 Street_Name: Acorn Road 	 City: Aurora 	 Province: Prince Edward Island 	 Poastal_Code: V8C 0S2 	 Country: Canada 	 Phone: 1282898187 	 Email: Ethan@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData23.csv
First_Name:  	 Last_Name: Williams 	 Street_Number: 106 	 Street_Name: Abbott Drive 	 City: North Vancouver 	 Province: Newfoundland and Labrador 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 379326654 	 Email: null@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData27.csv
First_Name: Alexander 	 Last_Name: Williams 	 Street_Number: 192 	 Street_Name: Agricola Street 	 City: Kawartha Lakes 	 Province: Newfoundland and Labrador 	 Poastal_Code: B2E 0X4 	 Country: Canada 	 Phone: 1395051439 	 Email: Alexander@null -->> 	 Reason: Invalid Email 	 File Path : \2017\11\10\CustomerData3.csv
